Confirmed	State	County Name	Special Id	Production	1-Apr-22	1-Aug-22	1-Dec-22	1-Feb-23	1-Jul-22	1-Jun-22	1-Mar-23	1-May-22	2-Dec-22	2-Jul-22	2-Jun-22	2-Mar-23	2-Sep-22	3-Apr-23	3-Dec-22	3-Feb-23	3-Jan-23	3-Jun-22	3-Mar-23	3-May-22	3-Nov-22	4-Apr-22	4-Apr-23	4-Jan-23	4-Jun-22	4-Mar-23	4-May-22	4-May-23	4-Nov-22	5-Apr-22	5-Dec-22	5-Jan-23	5-Mar-23	5-May-22	5-Nov-22	5-Oct-22	6-Apr-23	6-Dec-22	6-Jul-22	6-Jun-22	6-May-22	6-Oct-22	6-Sep-22	7-Apr-22	7-Apr-23	7-Dec-22	7-Jun-22	7-May-22	7-Oct-22	8-Apr-23	8-Jun-22	8-Mar-23	8-May-22	8-Nov-22	8-Oct-22	9-Apr-23	9-Dec-22	9-Jun-22	9-Mar-23	9-May-22	10-Apr-23	10-Dec-22	10-Jun-22	10-May-22	10-Nov-22	11-Apr-22	11-Apr-23	11-Aug-22	11-Jun-22	11-May-22	11-Nov-22	11-Oct-22	12-Apr-22	12-Apr-23	12-Dec-22	12-Feb-23	12-Mar-22	12-May-22	12-Oct-22	13-Apr-22	13-Apr-23	13-Dec-22	13-Feb-23	13-Jan-23	13-Jul-22	13-May-22	13-Nov-22	13-Oct-22	14-Apr-22	14-Apr-23	14-Dec-22	14-Jan-23	14-Jul-22	14-Oct-22	15-Apr-22	15-Aug-22	15-Jan-23	15-Mar-22	15-May-22	15-Nov-22	15-Oct-22	15-Sep-22	16-Apr-23	16-Dec-22	16-Feb-23	16-Jun-22	16-May-22	16-Nov-22	17-Jan-23	17-Jun-22	17-Mar-23	17-May-22	17-Nov-22	17-Oct-22	18-Apr-23	18-Feb-23	18-Jan-23	18-Jul-22	18-Jun-22	18-May-22	18-Oct-22	19-Apr-22	19-Apr-23	19-Dec-22	19-Jan-23	19-May-22	19-Nov-22	19-Sep-22	20-Apr-22	20-Dec-22	20-Jan-23	20-May-22	20-Oct-22	21-Apr-22	21-Mar-23	21-May-22	21-Nov-22	21-Oct-22	22-Apr-22	22-Dec-22	22-Mar-23	22-May-22	22-Nov-22	22-Oct-22	22-Sep-22	23-Apr-22	23-Dec-22	23-Feb-23	23-Jan-23	23-Mar-22	23-May-22	24-Apr-22	24-Aug-22	24-Dec-22	24-Jan-23	24-May-22	24-Nov-22	24-Sep-22	25-Apr-22	25-Dec-22	25-Jun-22	25-May-22	25-Nov-22	25-Oct-22	26-Apr-22	26-Dec-22	26-Jan-23	26-Mar-23	26-May-22	26-Oct-22	27-Apr-22	27-Apr-23	27-Dec-22	27-Mar-22	27-May-22	27-Nov-22	27-Oct-22	28-Apr-22	28-Apr-23	28-Dec-22	28-Jan-23	28-May-22	28-Oct-22	28-Sep-22	29-Apr-22	29-Dec-22	29-Nov-22	29-Oct-22	29-Sep-22	30-Apr-22	30-Dec-22	30-Jun-22	30-Oct-22	30-Sep-22	31-Jan-23	31-Mar-23	31-May-22	31-Oct-22	Active	NA
16-Mar-23	Missouri	Maries	Maries 01	WOAH Non-Poultry																																																																																																																																																																																																								10
16-Mar-23	Pennsylvania	Chester	Chester 04	Commercial Turkey Meat Bird																																																																																																																			"11,800"																																																																																					
16-Mar-23	Pennsylvania	Lancaster	Lancaster 30	WOAH Poultry																																																		"1,600"																																																																																																																																																						
16-Mar-23	Pennsylvania	Lancaster	Lancaster 31	WOAH Poultry																																													"2,400"																																																																																																																																																											
15-Mar-23	Iowa	Chickasaw	Chickasaw 01	WOAH Non-Poultry																																																																																																																																																																																																								50
15-Mar-23	Pennsylvania	Mifflin	Mifflin 01	WOAH Non-Poultry																																																																																																																																																																																																								60
14-Mar-23	Michigan	Eaton	Eaton 01	WOAH Non-Poultry																																																																																																																																																																																																								20
14-Mar-23	Pennsylvania	Lancaster	Lancaster 25	WOAH Poultry																																																																																	"2,400"																																																																																																																							
14-Mar-23	Pennsylvania	Lancaster	Lancaster 26	WOAH Poultry																																																																																																																			"3,900"																																																																																					
14-Mar-23	Pennsylvania	Lancaster	Lancaster 27	WOAH Poultry																																																																																																																			"3,000"																																																																																					
14-Mar-23	Pennsylvania	Lancaster	Lancaster 28	WOAH Poultry																																																																										"2,400"																																																																																																																														
14-Mar-23	Pennsylvania	Lancaster	Lancaster 29	WOAH Poultry																																																								"3,000"																																																																																																																																																
13-Mar-23	Pennsylvania	Lancaster	Lancaster 24	WOAH Poultry																																					"6,000"																																																																																																																																																																			
7-Mar-23	Virginia	Rockingham	Rockingham 03	WOAH Non-Poultry																																																																																																																																																																																																								250
6-Mar-23	Idaho	Bingham	Bingham 01	WOAH Non-Poultry																																																																																																																																																																																																								10
6-Mar-23	Pennsylvania	Bucks	Bucks 01	WOAH Poultry																																																																																																																																																																																																				"1,700"				
6-Mar-23	Pennsylvania	Lancaster	Lancaster 21	WOAH Poultry																																																																			"6,000"																																																																																																																																					
6-Mar-23	Pennsylvania	Lancaster	Lancaster 22	WOAH Poultry																																																																																	"1,800"																																																																																																																							
6-Mar-23	Pennsylvania	Lancaster	Lancaster 23	WOAH Poultry														310																																																																																																																																																																																										
4-Mar-23	Pennsylvania	Chester	Chester 02	WOAH Poultry																																																																			"6,900"																																																																																																																																					
4-Mar-23	Pennsylvania	Lancaster	Lancaster 18	Commercial Turkey Meat Bird																																													"19,600"																																																																																																																																																											
4-Mar-23	Pennsylvania	Lancaster	Lancaster 19	Commercial Turkey Meat Bird																																																																																																																			"26,600"																																																																																					
4-Mar-23	Pennsylvania	Lancaster	Lancaster 20	Commercial Duck Breeder																																																																																																							"11,300"																																																																																																	
4-Mar-23	Pennsylvania	Northumberland	Northumberland 01	WOAH Poultry																							680																																																																																																																																																																																	
3-Mar-23	Nevada	Douglas	Douglas 01	WOAH Non-Poultry																																																																																																																																																																																																								20
3-Mar-23	Pennsylvania	Chester	Chester 03	WOAH Poultry																																																								"5,200"																																																																																																																																																
28-Feb-23	Florida	Miami-dade	Miami-Dade 01	Live Bird Market																																																																																																															510																																																																																									
27-Feb-23	Pennsylvania	Lancaster	Lancaster 17	WOAH Poultry																																																																																																																			"4,400"																																																																																					
24-Feb-23	Illinois	Wayne	Wayne 01	Commercial Turkey Meat Bird																																																																																																																																													"18,200"																																																											
24-Feb-23	Pennsylvania	Chester	Chester 01	WOAH Poultry																																																																																	"3,400"																																																																																																																							
24-Feb-23	Pennsylvania	Lancaster	Lancaster 16	WOAH Poultry																																																																																																																																							"4,000"																																																																	
23-Feb-23	Colorado	Moffat	Moffat 01	WOAH Non-Poultry																																																																																																																																																																																																								40
23-Feb-23	Pennsylvania	Lancaster	Lancaster 15	WOAH Poultry																																																																																										"2,000"																																																																																																														
23-Feb-23	Virginia	Alexandria City	Alexandria 01	Live Bird Market																																																																																																																																																																																																							800	
22-Feb-23	Pennsylvania	Lancaster	Lancaster 14	WOAH Poultry																																																																																																																																																																								"4,200"																																
21-Feb-23	Nebraska	Lincoln	Lincoln 01	WOAH Poultry																																																											420																																																																																																																																													
21-Feb-23	Pennsylvania	Lancaster	Lancaster 13	Commercial Broiler Production																																																																																																																																																																																																				"97,700"				
17-Feb-23	California	San Joaquin	San Joaquin 03	WOAH Non-Poultry																																																																																																																																																																																																								160
17-Feb-23	Mississippi	Copiah	Copiah 01	WOAH Poultry																																																				50																																																																																																																																																				
17-Feb-23	Pennsylvania	Tioga	Tioga 01	WOAH Non-Poultry																																																																																																																																																																																																								50
15-Feb-23	New York	Columbia	Columbia 01	WOAH Poultry																			250																																																																																																																																																																																					
14-Feb-23	Florida	Hillsborough	Hillsborough 03	WOAH Non-Poultry																																																																																																																																																																																																								10
14-Feb-23	Washington	Benton	Benton 01	WOAH Non-Poultry																																																																																																																																																																																																								60
13-Feb-23	Kansas	Doniphan	Doniphan 01	WOAH Non-Poultry																																																																																																																																																																																																								30
13-Feb-23	Missouri	Carroll	Carroll 01	WOAH Non-Poultry																																																																																																																																																																																																								9
8-Feb-23	Kansas	Mitchell	Mitchell 03	Commercial Upland Gamebird Producer							"17,000"																																																																																																																																																																																																	
8-Feb-23	Pennsylvania	Lancaster	Lancaster 12	WOAH Poultry																										"20,300"																																																																																																																																																																														
7-Feb-23	Mississippi	Leake	Leake 01	Commercial Broiler Production												"89,800"																																																																																																																																																																																												
7-Feb-23	Pennsylvania	Allegheny	Allegheny 02	WOAH Non-Poultry																																																																																																																																																																																																								20
6-Feb-23	California	Merced	Merced 01	Commercial Duck Breeder																																																																																																																																																				"29,100"																																																				
6-Feb-23	California	Placer	Placer 01	WOAH Non-Poultry																																																																																																																																																																																																								30
6-Feb-23	California	San Joaquin	San Joaquin 02	WOAH Non-Poultry																																																																																																																																																																																																								8
6-Feb-23	Maine	Hancock	Hancock 02	WOAH Non-Poultry																																																																																																																																																																																																								30
6-Feb-23	Maine	Kennebec	Kennebec 01	WOAH Non-Poultry																																																																																																																																																																																																								40
6-Feb-23	Wyoming	Park	Park 03	WOAH Non-Poultry																																																																																																																																																																																																								10
1-Feb-23	Pennsylvania	Lancaster	Lancaster 10	Commercial Duck Meat Bird																										"32,800"																																																																																																																																																																														
1-Feb-23	Pennsylvania	Lancaster	Lancaster 11	WOAH Poultry																																	"2,700"																																																																																																																																																																							
27-Jan-23	Maine	Hancock	Hancock 01	WOAH Non-Poultry																																																																																																																																																																																																								40
25-Jan-23	Iowa	Buena Vista	Buena Vista 07	Commercial Turkey Meat Bird																																																																																																																				"27,700"																																																																																				
25-Jan-23	New York	Suffolk	Suffolk 04	WOAH Non-Poultry																																																																																																																																																																																																								10
25-Jan-23	North Carolina	Rowan	Rowan 01	WOAH Non-Poultry																																																																																																																																																																																																								2
25-Jan-23	Oregon	Polk	Polk 04	WOAH Non-Poultry																																																																																																																																																																																																								20
25-Jan-23	Virginia	Rockingham	Rockingham 02	Commercial Turkey Meat Bird																																																																																																									"11,100"																																																																																															
23-Jan-23	New Hampshire	Belknap	Belknap 01	WOAH Non-Poultry																																																																																																																																																																																																								40
20-Jan-23	Colorado	Larimer	Larimer 03	WOAH Non-Poultry																																																																																																																																																																																																								70
20-Jan-23	Tennessee	Weakley	Weakley 05	Commercial Broiler Production																																																																												"267,800"																																																																																																																												
19-Jan-23	California	El Dorado	El Dorado 02	WOAH Non-Poultry																																																																																																																																																																																																								20
19-Jan-23	Virginia	Rockingham	Rockingham 01	Commercial Turkey Meat Bird																																																																																																									"25,300"																																																																																															
19-Jan-23	Washington	Snohomish	Snohomish 09	WOAH Non-Poultry																																																																																																																																																																																																								20
18-Jan-23	Ohio	Licking	Licking 01	WOAH Non-Poultry																																																																																																																																																																																																								30
18-Jan-23	Texas	Lampasas	Lampasas 01	WOAH Poultry																70																																																																																																																																																																																								
17-Jan-23	Kansas	Mitchell	Mitchell 02	Commercial Upland Gamebird Producer							"6,900"																																																																																																																																																																																																	
12-Jan-23	California	Tehama	Tehama 01	WOAH Poultry																																																																																			"23,700"																																																																																																																					
11-Jan-23	Oregon	Douglas	Douglas 02	WOAH Non-Poultry																																																																																																																																																																																																								0
10-Jan-23	Montana	Cascade	Cascade 02	WOAH Non-Poultry																																																																																																																																																																																																								10
9-Jan-23	California	San Joaquin	San Joaquin 01	WOAH Non-Poultry																																																																																																																																																																																																								10
9-Jan-23	California	Sonoma	Sonoma 01	WOAH Non-Poultry																																																																																																																																																																																																								20
9-Jan-23	California	Sonoma	Sonoma 02	WOAH Non-Poultry																																																																																																																																																																																																								6
9-Jan-23	Nebraska	Scotts Bluff	Scotts Bluff 02	WOAH Non-Poultry																																																																																																																																																																																																								7
6-Jan-23	Colorado	Weld	Weld 08	WOAH Non-Poultry																																																																																																																																																																																																								40
6-Jan-23	Washington	Thurston	Thurston 02	WOAH Non-Poultry																																																																																																																																																																																																								120
5-Jan-23	South Dakota	Codington	Codington 02	WOAH Poultry																																																																																																																					140																																																																																			
4-Jan-23	Kansas	Anderson	Anderson 01	Commercial Upland Gamebird Producer																																																																																																																																																											"8,900"																																													
4-Jan-23	Missouri	Johnson	Johnson 01	WOAH Non-Poultry																																																																																																																																																																																																								30
4-Jan-23	Oregon	Josephine	Josephine 01	WOAH Non-Poultry																																																																																																																																																																																																								30
30-Dec-22	Michigan	Sanilac	Sanilac 01	WOAH Non-Poultry																																																																																																																																																																																																								30
30-Dec-22	Washington	Snohomish	Snohomish 08	WOAH Poultry																																																																																																																																																																																																			180					
29-Dec-22	Washington	Pierce	Pierce 06	WOAH Non-Poultry																																																																																																																																																																																																								40
28-Dec-22	Kansas	Elk	Elk 01	WOAH Non-Poultry																																																																																																																																																																																																								30
28-Dec-22	Tennessee	Weakley	Weakley 03	Commercial Broiler Breeder				"43,600"																																																																																																																																																																																																				
28-Dec-22	Tennessee	Weakley	Weakley 04	Commercial Broiler Breeder				"19,000"																																																																																																																																																																																																				
22-Dec-22	California	Glenn	Glenn 01	Commercial Upland Gamebird Producer																																																																																			"32,000"																																																																																																																					
21-Dec-22	Illinois	St. Clair	St. Clair 01	WOAH Non-Poultry																																																																																																																																																																																																								60
21-Dec-22	Missouri	Bates	Bates 02	WOAH Non-Poultry																																																																																																																																																																																																								30
21-Dec-22	Oregon	Umatilla	Umatilla 01	WOAH Non-Poultry																																																																																																																																																																																																								10
21-Dec-22	Tennessee	Weakley	Weakley 02	WOAH Poultry				"28,800"																																																																																																																																																																																																				
20-Dec-22	Colorado	Weld	Weld 07	Commercial Table Egg Layer																																																																																																																																																																																					"239,700"																			
20-Dec-22	Idaho	Gem	Gem 01	WOAH Non-Poultry																																																																																																																																																																																																								80
20-Dec-22	South Dakota	Hanson	Hanson 05	Commercial Turkey Meat Bird																																																																																																																																			"31,800"																																																																					
19-Dec-22	California	Mendocino	Mendocino 01	WOAH Non-Poultry																																																																																																																																																																																																								20
16-Dec-22	California	Butte	Butte 02	WOAH Non-Poultry																																																																																																																																																																																																								20
16-Dec-22	Colorado	Weld	Weld 06	Commercial Table Egg Layer																																																																																																																																																					"1,291,000"																																																			
16-Dec-22	Florida	Duval	Duval 02	WOAH Non-Poultry																																																																																																																																																																																																								10
16-Dec-22	Montana	Flathead	Flathead 02	WOAH Non-Poultry																																																																																																																																																																																																								0
15-Dec-22	Oregon	Polk	Polk 03	WOAH Non-Poultry																																																																																																																																																																																																								20
14-Dec-22	Minnesota	Redwood	Redwood 01	WOAH Non-Poultry																																																																																																																																																																																																								40
14-Dec-22	Nebraska	Knox	Knox 03	WOAH Poultry																																																																																				160																																																																																																																				
14-Dec-22	South Dakota	Moody	Moody 01	Commercial Table Egg Layer																																																																																																																													"1,332,100"																																																																											
14-Dec-22	South Dakota	Spink	Spink 07	WOAH Poultry																																280																																																																																																																																																																								
14-Dec-22	Tennessee	Weakley	Weakley 01	WOAH Poultry				"37,900"																																																																																																																																																																																																				
14-Dec-22	Washington	Franklin	Franklin 01	Commercial Table Egg Layer																																																																																																																																																																																																			"1,015,500"					
13-Dec-22	Indiana	Daviess	Daviess 01	Commercial Turkey Meat Bird																																"11,400"																																																																																																																																																																								
13-Dec-22	Oregon	Columbia	Columbia 02	WOAH Non-Poultry																																																																																																																																																																																																								100
13-Dec-22	Oregon	Linn	Linn 03	WOAH Non-Poultry																																																																																																																																																																																																								20
12-Dec-22	Iowa	Buena Vista	Buena Vista 06	Commercial Turkey Meat Bird																																																																																																													"51,200"																																																																																											
12-Dec-22	Iowa	Cherokee	Cherokee 03	Commercial Turkey Meat Bird																																																																																												"50,000"																																																																																																												
12-Dec-22	Iowa	Ida	Ida 01	Commercial Turkey Meat Bird																																																																																																																																																																							"90,000"																																	
12-Dec-22	Iowa	Sac	Sac 03	Commercial Turkey Meat Bird																																																																																																	"50,000"																																																																																																							
12-Dec-22	Minnesota	Wadena	Wadena 01	Commercial Turkey Meat Bird																																																																																																																																																																																										"298,100"														
12-Dec-22	South Dakota	Hanson	Hanson 04	Commercial Turkey Meat Bird																	"23,900"																																																																																																																																																																																							
9-Dec-22	Colorado	Prowers	Prowers 01	Commercial Upland Gamebird Producer																																																																																																																																																																																				"11,000"																				
9-Dec-22	Missouri	Osage	Osage 01	Commercial Turkey Meat Bird																	"19,700"																																																																																																																																																																																							
9-Dec-22	North Carolina	Onslow	Onslow 01	WOAH Non-Poultry																																																																																																																																																																																																								60
9-Dec-22	Oregon	Clackamas	Clackamas 01	WOAH Non-Poultry																																																																																																																																																																																																								60
9-Dec-22	Oregon	Polk	Polk 02	WOAH Non-Poultry																																																																																																																																																																																																								70
8-Dec-22	Minnesota	Dodge	Dodge 02	Commercial Turkey Meat Bird																																																																																																																																																										"10,000"																																														
8-Dec-22	Missouri	Dade	Dade 02	WOAH Non-Poultry																																																																																																																																																																																																								30
8-Dec-22	South Dakota	Hamlin	Hamlin 04	Commercial Turkey Meat Bird																																																																																																																																																																																															"58,100"									
7-Dec-22	Iowa	Cherokee	Cherokee 02	Commercial Turkey Meat Bird																																																																																												"105,000"																																																																																																												
7-Dec-22	Iowa	Sac	Sac 02	Commercial Turkey Meat Bird																																"40,000"																																																																																																																																																																								
7-Dec-22	South Dakota	Kingsbury	Kingsbury 04	WOAH Non-Poultry																																																																																																																																																																																																								70
6-Dec-22	Colorado	Larimer	Larimer 02	WOAH Non-Poultry																																																																																																																																																																																																								2
6-Dec-22	Missouri	Harrison	Harrison 01	WOAH Non-Poultry																																																																																																																																																																																																								30
6-Dec-22	Oklahoma	Pawnee	Pawnee 01	WOAH Non-Poultry																																																																																																																																																																																																								30
